subject,id,show,direction,order,amount,origin
,1, 流动资产：,,101,0.0,
%库存现金%+%银行存款%+%其他货币资金%,2, 货币资金,,102,5380533.480000033,
库存现金,3, 其中：库存现金,借,103,5215.389999999898,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1001"", ""subject_name"": ""库存现金""}, ""value_type"": ""terminal_amount""}}]"
银行存款,4,   银行存款,借,104,5375318.090000033,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1002"", ""subject_name"": ""银行存款""}, ""value_type"": ""terminal_amount""}}]"
其他货币资金,5,   其他货币资金,借,105,0.0,
结算备付金,6, 结算备付金,借,106,0.0,
拆出资金,7, 拆出资金,借,107,0.0,
交易性金融资产,8, 交易性金融资产,借,108,0.0,
以公允价值计量且其变动计入当期损益的金融资产,9, 以公允价值计量且其变动计入当期损益的金融资产,借,109,0.0,
衍生金融资产,10, 衍生金融资产,借,110,0.0,
应收票据,11, 应收票据,借,111,9111483.370000005,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1121"", ""subject_name"": ""应收票据""}, ""value_type"": ""terminal_amount""}}]"
应收账款,12, 应收账款,借,112,22911501.380000055,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1122"", ""subject_name"": ""应收账款""}, ""value_type"": ""terminal_amount""}}]"
坏账准备--应收账款,13, 减：坏账准备--应收账款,贷,113,0.0,[]
%应收账款%-%坏账准备--应收账款%,14, 应收账款净额,,114,22911501.380000055,
应收款项融资,15, 应收款项融资,借,115,0.0,
待摊费用,16, 待摊费用,借,116,0.0,
预付款项,17, 预付款项,借,117,244437.19,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1123"", ""subject_name"": ""预付款项""}, ""value_type"": ""terminal_amount""}}]"
应收股利,18,应收股利,借,118,0.0,
应收利息,19,应收利息,借,119,0.0,
应收保费,20, 应收保费,借,120,0.0,
应收分保账款,21, 应收分保账款,借,121,0.0,
应收分保合同准备金,22, 应收分保合同准备金,借,122,0.0,
内部存款,23, 内部存款,借,123,0.0,
内部往来,24, 内部往来,借,124,0.0,
应收补贴款,25, 应收补贴款,借,125,0.0,
其他应收款,26, 其他应收款,借,126,748144.0199999998,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1221"", ""subject_name"": ""其他应收款""}, ""value_type"": ""terminal_amount""}}]"
坏账准备--其他应收款,27, 减：坏账准备--其他应收款,贷,127,0.0,[]
%其他应收款%-%坏账准备--其他应收款%,28, 其他应收款净额,,128,748144.0199999998,
买入返售金融资产,29, 买入返售金融资产,借,129,0.0,
%物资采购%+%材料采购%+%在途物资%+%原材料%+%材料成本差异%+%库存商品%+%发出商品%+%自制半成品%+%产成品%+%商品进销差价%+%委托加工物资%+%周转材料%+%委托代销商品%+%受托代销商品%-%代销商品款%+%分期收款发出商品%+%包装物及低值易耗品%+%包装物%+%低值易耗品%+%消耗性物物资产%+%生产成本%+%劳务成本%+%制造费用%+%开发成本%,30, 存货,借,130,6458493.629999973,
物资采购,31,  物资采购,借,131,0.0,
材料采购,32,  材料采购,借,132,-3827599.7900000066,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1401"", ""subject_name"": ""材料采购""}, ""value_type"": ""terminal_amount""}}]"
在途物资,33,  在途物资,借,133,0.0,
原材料,34,  原材料,借,134,3853644.74999997,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1403"", ""subject_name"": ""原材料""}, ""value_type"": ""terminal_amount""}}]"
材料成本差异,35,  材料成本差异,借,135,0.0,
库存商品,36,  库存商品,借,136,2515283.3500000164,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1405"", ""subject_name"": ""库存商品""}, ""value_type"": ""terminal_amount""}}]"
发出商品,37,  发出商品,借,137,3722269.629999995,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1406"", ""subject_name"": ""发出商品""}, ""value_type"": ""terminal_amount""}}]"
自制半成品,38,  自制半成品,借,138,0.0,
产成品,39,  产成品,借,139,0.0,
商品进销差价,40,  商品进销差价,借,140,0.0,
委托加工物资,41,  委托加工物资,借,141,194895.68999999762,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1408"", ""subject_name"": ""委托加工物资""}, ""value_type"": ""terminal_amount""}}]"
周转材料,42,  周转材料,借,142,0.0,
委托代销商品,43,  委托代销商品,借,143,0.0,
受托代销商品,44,  受托代销商品,借,144,0.0,
代销商品款,45,  代销商品款,贷,145,0.0,
分期收款发出商品,46,  分期收款发出商品,借,146,0.0,
包装物及低值易耗品,47,  包装物及低值易耗品,借,147,0.0,
包装物,48,  包装物,借,148,0.0,
低值易耗品,49,  低值易耗品,借,149,0.0,
消耗性物物资产,50,  消耗性物物资产,借,150,0.0,
生产成本,51,  生产成本,借,151,0.0,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""5001"", ""subject_name"": ""生产成本""}, ""value_type"": ""terminal_amount""}}]"
劳务成本,52,  劳务成本,借,152,0.0,
制造费用,53,  制造费用,借,153,0.0,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""5101"", ""subject_name"": ""制造费用""}, ""value_type"": ""terminal_amount""}}]"
开发成本,54,  开发成本,借,154,0.0,
存货跌价准备,55, 减：存货跌价准备,贷,155,0.0,
%物资采购%+%材料采购%+%在途物资%+%原材料%+%材料成本差异%+%库存商品%+%发出商品%+%自制半成品%+%产成品%+%商品进销差价%+%委托加工物资%+%周转材料%+%委托代销商品%+%受托代销商品%-%代销商品款%+%分期收款发出商品%+%包装物及低值易耗品%+%包装物%+%低值易耗品%+%消耗性物物资产%+%生产成本%+%劳务成本%+%制造费用%+%开发成本%-%存货跌价准备%,56, 存货净额,,156,6458493.629999973,
合同资产,57, 合同资产,借,157,0.0,
持有待售资产,58, 持有待售资产,借,158,0.0,
一年内到期的非流动资产,59, 一年内到期的非流动资产,借,159,0.0,
待处理财产损溢,60, 待处理财产损溢,借,160,0.0,
其他流动资产,61, 其他流动资产,借,161,0.0,
