行标签, 求和项:debit , 求和项:credit 
本年利润," 2,049,890.89 "," 2,049,890.89 "
本年利润结转至利润分配, -   ," -5,821,878.25 "
损益结转至本年利润," 2,049,890.89 "," 7,871,769.14 "
材料采购," 45,907,344.25 "," 47,551,624.96 "
材料采购转入应付账款," 45,907,344.25 ", -   
购入原材料, -   ," 38,915,166.74 "
委托加工物资结转原材料, -   ," 8,636,458.22 "
财务费用," 784,157.41 "," 784,157.41 "
财务费用-冲减利息收入," -8,346.59 ", -   
财务费用-利息支出," 111,025.89 ", -   
财务费用-手续费," 98,453.38 ", -   
损益结转至本年利润, -   ," 784,157.41 "
应收票据减少-贴现," 583,024.73 ", -   
短期借款," 2,500,000.00 "," 4,000,000.00 "
偿还短期借款," 2,500,000.00 ", -   
取得短期借款, -   ," 4,000,000.00 "
发出商品," 66,679,927.74 "," 71,093,640.95 "
结转发出商品," 62,944,992.95 ", -   
结转主营业务成本, -   ," 71,143,640.95 "
应收账款增加-非收入确认, -   ," -50,000.00 "
主营业务成本借方不唯一借方主营业务成本%发出商品-贷方原材料%库存商品," 3,734,934.79 ", -   
股本, -   ," 7,000,000.00 "
未分配利润转增股本, -   ," 7,000,000.00 "
固定资产," 2,299,851.85 "," 243,578.02 "
购入固定资产," 1,516,912.84 ", -   
固定资产进项税冲减固定资产原值, -   ," 5,038.79 "
固定资产增加," 229,228.53 ", -   
固定资产转入投资性房地产, -   ," 228,710.17 "
退回固定资产, -   ," 9,829.06 "
在建工程转入固定资产," 553,710.48 ", -   
管理费用," 12,034,707.92 "," 12,034,707.92 "
费用增加-管理费用增加," 6,439,303.93 ", -   
费用增加-销售费用增加," 43,022.18 ", -   
付现生产成本," 4,700.85 ", -   
付现制造费用," 307,076.31 ", -   
购入固定资产," 16,740.05 ", -   
固定资产增加," -7,360.68 ", -   
计提折旧," 335,018.87 ", -   
计提职工薪酬," 3,809,692.84 ", -   
借方制造费用-非标准-管理费用%银行存款, 828.00 , -   
借方制造费用-非标准-制造费用%管理费用, 466.01 , -   
借方制造费用-非标准-制造费用%银行存款," 20,238.42 ", -   
领用原材料," 738,832.93 ", -   
损益结转至本年利润, -   ," 12,034,707.92 "
无形资产摊销," 57,425.71 ", -   
无形资产摊销未经过累计摊销直接计入管理费用," 3,670.53 ", -   
职工薪酬-未通过应付职工薪酬核算," 265,051.97 ", -   
库存商品," 65,073,781.66 "," 65,239,236.28 "
购入库存商品," 2,564.10 ", -   
购入原材料," 325,569.14 ", -   
结转发出商品, -   ," 61,538,891.50 "
领用原材料, -   ," 35,759.88 "
委托加工物资结转原材料," 180,078.03 ", -   
主营业务成本借方不唯一借方主营业务成本%发出商品-贷方原材料%库存商品, -   ," 3,664,584.90 "
自制原材料," 64,565,570.39 ", -   
